PacketSize,Interval,Label
1500,0.5,Safe
1450,0.6,Safe
1520,0.4,Safe
1480,0.5,Safe
1510,0.55,Safe
1495,0.45,Safe
1470,0.7,Safe
1530,0.35,Safe
40,150.0,Attack
35,200.0,Attack
42,180.0,Attack
38,190.0,Attack
45,210.0,Attack
30,250.0,Attack
39,170.0,Attack
41,220.0,Attack
500,1.2,Safe
600,1.5,Safe
550,1.1,Safe
480,1.8,Safe
44,195.0,Attack
37,205.0,Attack
1505,0.52,Safe
1490,0.48,Safe
33,230.0,Attack
1550,0.4,Safe
1420,0.65,Safe
1465,0.58,Safe
1515,0.42,Safe
1440,0.7,Safe
1500,0.5,Safe
1485,0.55,Safe
36,185.0,Attack
43,215.0,Attack
32,240.0,Attack
40,160.0,Attack
31,225.0,Attack
46,175.0,Attack
34,235.0,Attack
38,200.0,Attack
520,1.3,Safe
580,1.4,Safe
610,1.0,Safe
490,1.6,Safe
530,1.2,Safe
42,190.0,Attack
35,210.0,Attack
1498,0.51,Safe
1502,0.49,Safe
39,188.0,Attack
